Time, GPU Index, Temp C, GPU %, Memory %
2016-11-21 18:50:05.283000,GPU0,35,7,8
2016-11-21 18:50:07.286000,GPU0,35,10,10
2016-11-21 18:50:09.289000,GPU0,35,5,7
2016-11-21 18:50:11.291000,GPU0,35,7,8
2016-11-21 18:50:13.294000,GPU0,35,11,9
2016-11-21 18:50:15.297000,GPU0,35,22,14
2016-11-21 18:50:17.300000,GPU0,35,18,11
2016-11-21 18:50:19.302000,GPU0,35,4,6
2016-11-21 18:50:21.304000,GPU0,35,3,6
2016-11-21 18:50:23.307000,GPU0,35,5,7
2016-11-21 18:50:25.309000,GPU0,35,6,8
2016-11-21 18:50:27.312000,GPU0,35,5,7
2016-11-21 18:50:29.315000,GPU0,35,5,7
2016-11-21 18:50:31.318000,GPU0,35,5,7
2016-11-21 18:50:33.320000,GPU0,35,7,8
2016-11-21 18:50:35.323000,GPU0,35,4,6
2016-11-21 18:50:37.325000,GPU0,35,5,7
2016-11-21 18:50:39.328000,GPU0,35,9,8
2016-11-21 18:50:41.331000,GPU0,35,9,8
2016-11-21 18:50:43.334000,GPU0,35,10,9
2016-11-21 18:50:45.336000,GPU0,35,12,9
2016-11-21 18:50:47.339000,GPU0,35,15,11
2016-11-21 18:50:49.342000,GPU0,35,6,7
2016-11-21 18:50:51.345000,GPU0,35,12,9
2016-11-21 18:50:53.348000,GPU0,35,17,11
2016-11-21 18:50:55.350000,GPU0,35,13,9
2016-11-21 18:50:57.353000,GPU0,35,26,16
2016-11-21 18:50:59.355000,GPU0,35,24,15
2016-11-21 18:51:01.358000,GPU0,35,11,9
2016-11-21 18:51:03.360000,GPU0,35,18,13
2016-11-21 18:51:05.364000,GPU0,35,14,11
2016-11-21 18:51:07.367000,GPU0,35,15,10
2016-11-21 18:51:09.370000,GPU0,37,4,1
2016-11-21 18:51:11.373000,GPU0,37,5,2
2016-11-21 18:51:13.376000,GPU0,37,6,4
2016-11-21 18:51:15.378000,GPU0,36,2,3
2016-11-21 18:51:17.380000,GPU0,36,3,7
2016-11-21 18:51:19.383000,GPU0,36,4,7
2016-11-21 18:51:21.386000,GPU0,36,6,7
2016-11-21 18:51:23.389000,GPU0,36,11,9
2016-11-21 18:51:25.392000,GPU0,36,7,7
2016-11-21 18:51:27.395000,GPU0,36,7,7
2016-11-21 18:51:29.397000,GPU0,36,5,7
2016-11-21 18:51:31.400000,GPU0,36,5,7
2016-11-21 18:51:33.403000,GPU0,36,8,8
2016-11-21 18:51:35.405000,GPU0,36,6,7
2016-11-21 18:51:37.408000,GPU0,36,7,7
2016-11-21 18:51:39.411000,GPU0,35,7,8
2016-11-21 18:51:41.413000,GPU0,36,6,7
2016-11-21 18:51:43.416000,GPU0,35,8,8
2016-11-21 18:51:45.419000,GPU0,35,4,7
2016-11-21 18:51:47.421000,GPU0,35,6,8
2016-11-21 18:51:49.424000,GPU0,36,6,7
2016-11-21 18:51:51.427000,GPU0,35,7,7
2016-11-21 18:51:53.431000,GPU0,35,12,9
2016-11-21 18:51:55.434000,GPU0,35,7,7
2016-11-21 18:51:57.437000,GPU0,35,7,9
2016-11-21 18:51:59.440000,GPU0,35,4,7
2016-11-21 18:52:01.444000,GPU0,35,4,7
2016-11-21 18:52:03.446000,GPU0,35,13,9
2016-11-21 18:52:05.449000,GPU0,35,6,7
